customer_id,name,paytm_user,is_regular,avg_basket_value,preferred_slot,will_lapse,group
CUST0001,Prakash Reddy,True,True,238.3,Evening,False,n/a
CUST0002,Priya Verma,False,True,169.66,Morning,False,n/a
CUST0003,Vinod Sharma,False,False,491.7,Afternoon,False,n/a
CUST0004,Deepa Chauhan,False,False,123.44,Morning,False,n/a
CUST0005,Ravi Pillai,True,True,627.32,Afternoon,False,n/a
CUST0006,Priya Verma,True,True,302.3,Afternoon,False,n/a
CUST0007,Sunita Chauhan,True,False,320.62,Evening,False,n/a
CUST0008,Neha Mehta,False,False,144.29,Morning,False,n/a
CUST0009,Neha Verma,False,False,321.47,Afternoon,False,n/a
CUST0010,Prakash Mehta,True,True,475.19,Evening,False,n/a
CUST0011,Divya Verma,False,True,506.44,Morning,True,campaign
CUST0012,Rajesh Das,True,False,484.73,Morning,False,n/a
CUST0013,Divya Joshi,False,False,241.4,Morning,False,n/a
CUST0014,Ashok Das,True,True,619.74,Evening,False,n/a
CUST0015,Ashok Patel,False,True,604.71,Afternoon,False,n/a
CUST0016,Manoj Singh,True,False,405.66,Evening,False,n/a
CUST0017,Arun Pillai,False,True,236.24,Morning,True,campaign
CUST0018,Vinod Bhatt,True,True,178.11,Evening,False,n/a
CUST0019,Kavita Pillai,False,True,435.82,Afternoon,False,n/a
CUST0020,Vinod Singh,False,False,126.08,Evening,False,n/a
CUST0021,Priya Singh,False,True,275.56,Morning,False,n/a
CUST0022,Rajesh Sharma,False,False,259.6,Evening,False,n/a
CUST0023,Kavita Reddy,False,True,458.64,Evening,False,n/a
CUST0024,Suresh Nair,True,True,625.35,Evening,False,n/a
CUST0025,Ramesh Joshi,True,True,312.38,Afternoon,True,holdout
CUST0026,Deepa Gupta,True,True,161.74,Evening,False,n/a
CUST0027,Meera Verma,False,True,186.65,Evening,False,n/a
CUST0028,Meera Iyer,True,False,344.26,Morning,False,n/a
CUST0029,Shalini Patel,False,True,475.99,Afternoon,True,campaign
CUST0030,Rajesh Chauhan,True,True,299.19,Evening,True,campaign
CUST0031,Shalini Kumar,False,True,495.16,Morning,False,n/a
CUST0032,Deepa Verma,False,False,157.55,Morning,False,n/a
CUST0033,Vikram Bhatt,True,True,615.82,Evening,False,n/a
CUST0034,Arun Bhatt,True,True,335.74,Morning,True,campaign
CUST0035,Priya Pillai,True,True,577.83,Morning,False,n/a
CUST0036,Divya Reddy,True,False,544.31,Morning,False,n/a
